total_kills,league_mean_kills,league,mean_total_kills_t1,mean_total_kills_t2,bet_line,bet_value,bet_status,house_odds,actual_value,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2
26,30.07286432160804,LPL,29.010204081632654,30.822580645161292,under,28.5,won,1.83,26.0,0.0,0.5609560677137821,-0.6320467219229506,-1.0332368361565436,0.0,-1.1986585288014666,0.0,0.9020397066897203,-0.6816806276591585,-1.1261807448375052
35,30.07286432160804,LPL,29.010204081632654,30.822580645161292,under,28.5,lost,1.83,35.0,0.0,0.0,0.0,-0.7760435577368519,0.0,0.0,0.0,-2.3782730948618678,1.7827561319782248,-0.9659723665617115
44,28.831481481481482,LCK,30.60952380952381,29.50515463917526,over,26.5,won,1.83,44.0,0.0,0.5609560677137821,0.0,-0.6320467219229506,0.0,0.0,0.7520050888007717,0.9020397066897203,0.46549902257931564,-0.6816806276591585
49,28.831481481481482,LCK,30.60952380952381,29.50515463917526,over,26.5,won,1.83,49.0,-0.5685724682663711,-1.155716943849221,0.0,0.0,-0.6263770292967372,0.0,0.0,0.5231029362444133,1.7827561319782248,0.0
30,30.07286432160804,LPL,26.4,26.885714285714286,under,25.5,lost,1.83,30.0,0.5609560677137821,0.0,0.8434335133614894,-0.7760435577368519,0.6655385399034301,-1.0617142411045393,0.0,0.0,1.7827561319782248,-0.9659723665617115
27,30.07286432160804,LPL,26.4,26.885714285714286,under,25.5,lost,1.83,27.0,0.0,-0.5685724682663711,-0.6320467219229506,0.0,-0.6263770292967372,0.0,0.0,-0.9130980650743759,-1.7642883932950575,-1.1261807448375052
25,27.14814814814815,LEC,25.462962962962962,28.756756756756758,under,28.5,won,1.83,25.0,-1.155716943849221,0.5609560677137821,0.0,-0.7760435577368519,0.6655385399034301,0.0,0.0,0.0,0.46549902257931564,-0.6816806276591585
29,27.14814814814815,LEC,25.462962962962962,28.756756756756758,under,28.5,lost,1.83,29.0,0.0,0.0,-0.64039106873566,1.2567508672476961,0.0,-1.0617142411045393,0.0,0.0,0.0,-0.9659723665617115
21,28.831481481481482,LCK,26.579545454545453,26.92079207920792,over,24.5,lost,1.83,21.0,0.5609560677137821,0.0,-0.6320467219229506,-0.7760435577368519,0.0,0.0,0.5231029362444133,0.7520050888007717,0.46549902257931564,0.0
45,28.831481481481482,LCK,26.579545454545453,26.92079207920792,over,24.5,won,1.83,45.0,0.0,0.0,0.0,-1.0332368361565436,-0.8095983863874423,-1.1986585288014666,0.0,0.0,1.7827561319782248,0.0
22,30.07286432160804,LPL,26.4,27.926470588235293,over,25.5,lost,1.8,22.0,0.0,0.0,-0.6320467219229506,-0.7760435577368519,0.6655385399034301,-1.0617142411045393,0.0,0.5231029362444133,-0.9659723665617115,-0.6816806276591585
26,30.07286432160804,LPL,26.4,27.926470588235293,over,25.5,won,1.8,26.0,-0.5685724682663711,-1.155716943849221,1.2567508672476961,0.0,0.0,-0.6263770292967372,0.9020397066897203,0.7520050888007717,0.46549902257931564,0.0
18,27.25563909774436,LCP,26.914893617021278,27.753846153846155,under,25.5,won,1.83,18.0,0.0,0.5609560677137821,0.0,-0.6320467219229506,0.0,-0.8095983863874423,0.0,-0.8113044475574895,0.0,-0.6816806276591585
31,27.809278350515463,LTA S,26.55,28.980392156862745,over,25.5,won,1.83,31.0,0.0,0.0,-0.6320467219229506,-0.7760435577368519,0.0,0.0,0.0,0.5231029362444133,1.7827561319782248,0.46549902257931564
36,27.809278350515463,LTA S,26.55,28.980392156862745,over,25.5,won,1.83,36.0,0.0,0.5609560677137821,0.0,0.0,1.2815801036603958,0.0,-0.8113044475574895,0.9020397066897203,0.0,-0.6816806276591585
20,27.14814814814815,LEC,29.3,26.27027027027027,under,29.5,won,1.83,20.0,0.0,0.5609560677137821,-0.7760435577368519,-0.6320467219229506,0.0,-0.8095983863874423,-1.4326523672446747,0.5231029362444133,0.46549902257931564,1.7827561319782248
44,27.14814814814815,LEC,29.3,26.27027027027027,under,29.5,lost,1.83,44.0,0.0,0.0,1.2567508672476961,-0.64039106873566,0.0,-0.6263770292967372,0.0,0.0,1.120551452057974,-0.9659723665617115
35,27.14814814814815,LEC,27.19298245614035,27.384615384615383,under,28.5,lost,1.83,35.0,0.0,0.0,-0.6320467219229506,1.0984264443831435,0.0,0.0,0.0,-0.468056459937813,-0.6816806276591585,0.0
24,27.14814814814815,LEC,27.19298245614035,27.384615384615383,under,28.5,won,1.83,24.0,0.0,-1.155716943849221,0.0,1.2567508672476961,-1.0617142411045393,0.0,-1.4326523672446747,0.0,0.46549902257931564,0.0
22,27.809278350515463,LTA S,27.05263157894737,29.316666666666666,over,27.5,lost,1.8,22.0,-0.5685724682663711,-1.5721442954792302,0.0,-0.7760435577368519,0.0,0.6655385399034301,-0.9130980650743759,-0.468056459937813,-1.1261807448375052,-1.078880905409381
13,27.809278350515463,LTA S,27.05263157894737,29.316666666666666,over,27.5,lost,1.8,13.0,0.0,0.0,2.691838088918381,0.0,0.0,-1.0617142411045393,0.0,0.0,0.46549902257931564,-0.6816806276591585
26,28.831481481481482,LCK,34.19230769230769,30.83739837398374,under,31.5,won,1.83,26.0,0.0,0.0,0.0,0.0,-1.0617142411045393,0.0,0.9020397066897203,0.7520050888007717,0.0,1.7827561319782248
19,28.831481481481482,LCK,34.19230769230769,30.83739837398374,under,31.5,won,1.83,19.0,0.5609560677137821,0.0,1.0984264443831435,0.0,0.0,0.6655385399034301,-1.4326523672446747,0.0,0.0,-0.9659723665617115
18,27.14814814814815,LEC,26.27027027027027,28.756756756756758,under,29.5,won,1.83,18.0,0.0,0.5609560677137821,1.2567508672476961,-0.7760435577368519,0.0,0.0,0.0,0.0,1.7827561319782248,-0.9659723665617115
20,27.14814814814815,LEC,26.27027027027027,28.756756756756758,under,29.5,won,1.83,20.0,-1.155716943849221,0.0,0.0,-1.0332368361565436,0.6655385399034301,-1.1986585288014666,0.0,-0.468056459937813,-1.1261807448375052,-1.078880905409381
26,27.14814814814815,LEC,27.19298245614035,29.153846153846153,under,30.5,won,1.83,26.0,0.0,-1.155716943849221,-0.64039106873566,-1.0332368361565436,-0.8095983863874423,0.0,0.5231029362444133,0.0,0.46549902257931564,-0.9659723665617115
17,27.14814814814815,LEC,27.19298245614035,29.153846153846153,under,30.5,won,1.83,17.0,0.0,0.5609560677137821,-0.6320467219229506,-0.7760435577368519,-0.6263770292967372,0.0,0.9020397066897203,-0.8113044475574895,-1.078880905409381,-1.1261807448375052
22,28.831481481481482,LCK,32.130434782608695,30.847619047619048,over,30.5,lost,1.83,22.0,0.5609560677137821,0.0,1.0984264443831435,-0.7760435577368519,-0.8095983863874423,-1.0617142411045393,0.9020397066897203,0.0,0.0,-0.6816806276591585
27,28.831481481481482,LCK,32.130434782608695,30.847619047619048,over,30.5,lost,1.83,27.0,0.0,-0.5685724682663711,0.0,0.0,0.6655385399034301,0.0,-0.9130980650743759,-0.8113044475574895,-1.1261807448375052,-1.078880905409381
34,30.07286432160804,LPL,31.733766233766232,30.443786982248522,under,30.5,lost,1.83,34.0,0.0,0.5609560677137821,0.0,1.2567508672476961,-0.8095983863874423,-1.0617142411045393,-0.9130980650743759,0.0,-1.1261807448375052,0.46549902257931564
32,30.07286432160804,LPL,31.733766233766232,30.443786982248522,under,30.5,lost,1.83,32.0,0.0,0.0,-0.7760435577368519,0.0,0.0,-0.6263770292967372,0.0,-0.8113044475574895,1.7827561319782248,-0.6816806276591585
30,30.12878787878788,LVP SL,28.458333333333332,29.692307692307693,under,27.5,lost,1.83,30.0,0.0,0.5609560677137821,0.0,-0.7760435577368519,-0.8095983863874423,1.0853159537389274,0.9020397066897203,-0.468056459937813,1.7827561319782248,1.120551452057974
28,31.37037037037037,CD,33.1764705882353,30.81132075471698,over,31.5,lost,1.83,28.0,0.0,0.0,1.0984264443831435,-0.64039106873566,-0.8095983863874423,-1.1986585288014666,-0.8113044475574895,-1.4462880706363492,0.0,1.120551452057974
28,31.37037037037037,CD,28.236842105263158,28.08695652173913,under,31.5,won,1.83,28.0,0.0,0.5609560677137821,-0.751940118689614,-0.6320467219229506,0.6655385399034301,0.0,0.0,0.0,1.7827561319782248,4.1582595287502215
32,28.831481481481482,LCK,30.272058823529413,29.76068376068376,over,29.5,won,1.83,32.0,0.5609560677137821,0.0,-0.7760435577368519,0.0,0.0,-1.0617142411045393,-0.9130980650743759,0.0,-1.1261807448375052,-2.2426813296105834
35,28.831481481481482,LCK,30.272058823529413,29.76068376068376,over,29.5,won,1.83,35.0,0.0,-1.155716943849221,0.0,1.0984264443831435,0.0,0.6655385399034301,-0.8113044475574895,0.0,0.0,0.0
24,30.07286432160804,LPL,31.526946107784433,28.48175182481752,under,30.5,won,1.83,24.0,0.0,0.5609560677137821,-0.6320467219229506,-0.7760435577368519,0.0,0.6655385399034301,0.5231029362444133,0.0,0.46549902257931564,-1.842584791571916
24,30.07286432160804,LPL,31.526946107784433,28.48175182481752,under,30.5,won,1.83,24.0,-0.5685724682663711,-1.155716943849221,-0.64039106873566,0.0,-0.8095983863874423,0.0,0.0,-0.9130980650743759,0.0,-1.1261807448375052
29,34.5625,RL,34.69892473118279,33.11940298507463,under,34.5,won,1.83,29.0,0.0,0.0,-0.6320467219229506,-0.7760435577368519,-0.6263770292967372,0.0,0.0,0.0,-1.057365285027263,-1.1261807448375052
34,34.5625,RL,34.69892473118279,33.11940298507463,under,34.5,won,1.83,34.0,0.0,0.0,0.0,-0.64039106873566,-1.0617142411045393,0.0,-0.8113044475574895,-0.468056459937813,-0.6816806276591585,1.120551452057974
21,29.229559748427672,LFL,28.729166666666668,29.441558441558442,under,31.5,won,1.83,21.0,-1.155716943849221,0.5609560677137821,0.0,-0.7760435577368519,0.0,-0.6263770292967372,-0.468056459937813,0.0,1.7827561319782248,0.46549902257931564
34,29.229559748427672,LFL,28.729166666666668,29.441558441558442,under,31.5,lost,1.83,34.0,0.0,0.0,0.0,-0.6320467219229506,0.6655385399034301,-1.0617142411045393,-0.9130980650743759,0.5231029362444133,-1.1261807448375052,-1.078880905409381
36,30.590579710144926,NACL,31.5,29.72340425531915,under,30.5,lost,1.83,36.0,0.5609560677137821,0.0,0.0,1.0984264443831435,0.6655385399034301,0.0,0.5231029362444133,0.0,-1.1261807448375052,-0.6816806276591585
33,30.590579710144926,NACL,31.32758620689655,30.5,under,33.5,won,1.83,33.0,0.0,-1.155716943849221,1.2567508672476961,-0.6320467219229506,0.6655385399034301,1.0853159537389274,0.0,0.0,-0.9659723665617115,0.0
33,30.590579710144926,NACL,28.80851063829787,27.07843137254902,under,32.5,lost,1.83,33.0,-0.8659941634725179,0.0,-0.7760435577368519,0.0,0.0,0.0,0.0,0.0,-3.700805908305771,0.0
21,28.831481481481482,LCK,27.804347826086957,29.335714285714285,under,30.5,won,1.83,21.0,0.0,0.0,-0.7760435577368519,-0.6320467219229506,-1.0617142411045393,0.0,-0.8113044475574895,0.9020397066897203,0.46549902257931564,-1.078880905409381
32,28.831481481481482,LCK,27.804347826086957,29.335714285714285,under,30.5,lost,1.83,32.0,0.0,0.5609560677137821,0.0,1.0984264443831435,0.0,0.0,0.0,0.0,-1.1261807448375052,-1.7642883932950575
27,30.12878787878788,LVP SL,29.692307692307693,31.34090909090909,under,32.5,won,1.83,27.0,-0.8659941634725179,0.0,-1.0332368361565436,-0.6320467219229506,-0.8095983863874423,1.0853159537389274,0.5231029362444133,0.9020397066897203,0.46549902257931564,-0.6816806276591585
40,30.12878787878788,LVP SL,29.692307692307693,31.34090909090909,under,32.5,lost,1.83,40.0,0.0,-0.5685724682663711,0.0,-0.64039106873566,0.6655385399034301,-1.1986585288014666,-0.468056459937813,0.7520050888007717,-1.1261807448375052,1.120551452057974
22,29.229559748427672,LFL,30.516129032258064,29.441558441558442,under,33.5,won,1.83,22.0,0.5609560677137821,0.0,0.0,-0.7760435577368519,0.0,-0.8095983863874423,0.0,0.0,-0.9659723665617115,-1.1261807448375052
26,29.229559748427672,LFL,30.516129032258064,29.441558441558442,under,33.5,won,1.83,26.0,0.0,0.0,-0.6320467219229506,-1.0332368361565436,-0.6263770292967372,-1.234138311281054,0.0,0.0,1.7827561319782248,1.120551452057974
19,33.23076923076923,ROL,30.22641509433962,32.895833333333336,under,31.5,won,1.83,19.0,0.0,0.0,-0.7760435577368519,-0.6320467219229506,-0.8095983863874423,0.0,1.0830233897470123,0.0,-3.700805908305771,-1.1261807448375052
20,33.23076923076923,ROL,30.22641509433962,32.895833333333336,under,31.5,won,1.83,20.0,-1.155716943849221,0.0,-1.0332368361565436,1.0984264443831435,-1.1986585288014666,0.0,0.0,0.0,0.0,0.46549902257931564
25,29.229559748427672,LFL,29.57943925233645,25.976470588235294,under,30.5,won,1.83,25.0,0.0,0.0,-0.6320467219229506,-0.7760435577368519,-0.8095983863874423,0.6655385399034301,0.0,0.9020397066897203,-0.6816806276591585,-1.078880905409381
32,29.229559748427672,LFL,29.57943925233645,25.976470588235294,under,30.5,lost,1.83,32.0,0.5609560677137821,-1.155716943849221,0.0,0.0,0.0,0.0,0.0,0.0,0.46549902257931564,-1.1261807448375052
20,29.229559748427672,LFL,29.26086956521739,26.232558139534884,under,32.5,won,1.83,20.0,0.0,0.0,1.2567508672476961,0.0,0.0,0.6655385399034301,0.0,0.0,-1.078880905409381,-2.2426813296105834
23,29.229559748427672,LFL,29.26086956521739,26.232558139534884,under,32.5,won,1.83,23.0,0.0,-1.5721442954792302,-0.7760435577368519,-0.64039106873566,-0.8095983863874423,0.0,0.0,0.0,1.120551452057974,1.7827561319782248
31,33.0375,TCL,30.822580645161292,29.928571428571427,over,28.5,won,1.83,31.0,0.0,0.0,-0.6320467219229506,-0.7760435577368519,0.0,0.0,0.0,0.0,1.120551452057974,-1.1261807448375052
25,30.590579710144926,NACL,31.32758620689655,31.08888888888889,under,33.5,won,1.83,25.0,0.0,0.0,-1.0332368361565436,-0.6320467219229506,0.0,0.0,0.0,0.5231029362444133,-1.1261807448375052,0.46549902257931564
16,27.25563909774436,LCP,27.736842105263158,25.638297872340427,under,26.5,won,1.83,16.0,0.0,0.0,0.0,-0.7760435577368519,0.6655385399034301,-1.0617142411045393,0.0,0.0,-0.9659723665617115,-0.6816806276591585
17,27.25563909774436,LCP,27.736842105263158,25.638297872340427,under,26.5,won,1.83,17.0,-1.155716943849221,0.0,-1.0332368361565436,1.0984264443831435,-1.1986585288014666,0.0,0.0,-0.468056459937813,0.0,-1.057365285027263
25,27.25563909774436,LCP,30.333333333333332,28.528301886792452,under,25.5,won,1.83,25.0,0.0,-1.155716943849221,0.0,-0.7760435577368519,-0.8095983863874423,0.6655385399034301,0.0,0.0,-0.6816806276591585,1.7827561319782248
31,27.25563909774436,LCP,30.333333333333332,28.528301886792452,under,25.5,lost,1.83,31.0,0.5609560677137821,0.0,0.0,0.0,0.0,0.0,0.5231029362444133,0.0,0.0,-0.9659723665617115
25,27.25563909774436,LCP,26.557692307692307,27.753846153846155,under,26.5,won,1.83,25.0,0.0,0.0,-0.7760435577368519,1.2567508672476961,0.0,-1.0617142411045393,0.0,0.0,0.46549902257931564,-0.9659723665617115
31,27.25563909774436,LCP,26.557692307692307,27.753846153846155,under,26.5,lost,1.83,31.0,0.0,0.0,-0.6320467219229506,0.0,0.0,-0.8095983863874423,0.9020397066897203,0.7520050888007717,-1.078880905409381,0.0
26,28.831481481481482,LCK,29.489583333333332,30.847619047619048,under,31.5,won,1.83,26.0,0.0,0.0,-0.6320467219229506,1.757209358869801,0.0,-1.0617142411045393,-0.8113044475574895,0.5231029362444133,0.0,-0.6816806276591585
43,28.831481481481482,LCK,29.489583333333332,30.847619047619048,under,31.5,lost,1.83,43.0,0.5609560677137821,0.0,0.0,-0.7760435577368519,-1.1986585288014666,0.0,0.0,0.0,-2.2426813296105834,0.46549902257931564
21,31.37037037037037,CD,30.81132075471698,30.115384615384617,under,28.5,won,1.83,21.0,0.0,0.0,0.0,-0.64039106873566,0.0,-0.8095983863874423,0.0,0.0,-1.078880905409381,0.0
30,34.5625,RL,34.69892473118279,31.918367346938776,under,34.5,won,1.83,30.0,0.0,0.0,-0.7760435577368519,-0.6320467219229506,-0.6263770292967372,0.6655385399034301,0.5231029362444133,-0.468056459937813,-1.078880905409381,-1.1261807448375052
27,34.5625,RL,34.69892473118279,31.918367346938776,under,34.5,won,1.83,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4462880706363492,-0.9659723665617115,0.46549902257931564
40,30.12878787878788,LVP SL,29.692307692307693,32.40909090909091,under,31.5,lost,1.83,40.0,0.0,0.0,0.0,-0.7760435577368519,0.0,1.0853159537389274,0.0,-0.468056459937813,-0.6816806276591585,-1.078880905409381
38,30.12878787878788,LVP SL,29.692307692307693,32.40909090909091,under,31.5,lost,1.83,38.0,0.5609560677137821,0.0,0.0,0.0,0.6655385399034301,0.0,0.0,0.5231029362444133,-1.842584791571916,0.46549902257931564
35,33.23076923076923,ROL,31.301369863013697,35.46,under,33.5,lost,1.83,35.0,-1.5721442954792302,0.0,0.0,-0.6320467219229506,0.0,-1.0617142411045393,0.0,-2.3782730948618678,0.0,0.0
34,33.23076923076923,ROL,31.301369863013697,35.46,under,33.5,lost,1.83,34.0,0.0,0.0,0.0,-1.0332368361565436,0.6655385399034301,0.0,0.9020397066897203,0.5231029362444133,-0.6816806276591585,-1.842584791571916
30,30.07286432160804,LPL,28.48175182481752,31.733766233766232,under,30.5,won,1.83,30.0,0.0,0.5609560677137821,1.2567508672476961,1.0984264443831435,0.0,0.0,0.7520050888007717,0.9020397066897203,-1.1261807448375052,-0.6816806276591585
35,30.07286432160804,LPL,28.48175182481752,31.733766233766232,under,30.5,lost,1.83,35.0,-1.155716943849221,0.0,0.0,0.0,-0.8095983863874423,0.6655385399034301,0.0,-0.8113044475574895,-0.9659723665617115,0.46549902257931564
31,33.06190476190476,NLC,34.935483870967744,30.6,under,34.5,won,1.83,31.0,-1.155716943849221,0.0,0.0,-0.7760435577368519,0.0,0.6655385399034301,0.0,-1.4326523672446747,1.7827561319782248,-0.9659723665617115
41,33.06190476190476,NLC,34.935483870967744,30.6,under,34.5,lost,1.83,41.0,0.0,0.0,0.8434335133614894,0.0,0.0,0.0,0.0,0.5231029362444133,0.46549902257931564,-1.7642883932950575
29,30.07286432160804,LPL,35.0,40.01960784313726,over,33.5,lost,1.83,29.0,0.0,0.0,-0.6320467219229506,-0.7760435577368519,0.0,1.2815801036603958,0.0,-0.468056459937813,-1.1261807448375052,-1.057365285027263
35,30.07286432160804,LPL,33.21212121212121,32.54761904761905,under,35.5,won,1.83,35.0,-1.155716943849221,0.0,0.0,2.691838088918381,0.0,-0.6263770292967372,0.0,-1.2403757694101287,0.46549902257931564,-0.6816806276591585
35,36.13903743315508,LJL,32.22950819672131,38.490566037735846,over,33.5,won,1.83,35.0,0.0,-1.155716943849221,1.2567508672476961,0.0,0.6655385399034301,0.0,0.0,0.0,1.7827561319782248,-0.6816806276591585
30,36.13903743315508,LJL,32.22950819672131,38.490566037735846,over,33.5,lost,1.83,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9130980650743759,-0.468056459937813,-1.1261807448375052,0.0
31,30.07286432160804,LPL,31.208695652173912,31.015748031496063,under,30.5,lost,1.83,31.0,0.5609560677137821,0.0,-0.64039106873566,-0.6320467219229506,-1.1986585288014666,0.0,-1.2403757694101287,0.5231029362444133,0.46549902257931564,-0.6816806276591585
28,30.07286432160804,LPL,31.208695652173912,31.015748031496063,under,30.5,won,1.83,28.0,0.0,-1.5721442954792302,0.0,1.2567508672476961,0.6655385399034301,-1.0617142411045393,0.9020397066897203,0.0,1.7827561319782248,0.0
33,33.15511551155115,PRM,32.787234042553195,32.65277777777778,under,33.5,won,1.83,33.0,0.5609560677137821,0.0,1.0984264443831435,-0.6320467219229506,1.0853159537389274,0.0,0.0,0.0,-0.6816806276591585,-1.078880905409381
34,33.15511551155115,PRM,32.787234042553195,32.65277777777778,under,33.5,lost,1.83,34.0,0.0,0.0,1.2567508672476961,-0.7760435577368519,0.0,-1.0617142411045393,-0.9130980650743759,-0.8113044475574895,0.46549902257931564,-0.9659723665617115
41,33.23076923076923,ROL,35.160714285714285,33.214285714285715,under,34.5,lost,1.83,41.0,-0.5685724682663711,0.0,1.0984264443831435,1.2567508672476961,-0.8095983863874423,0.6655385399034301,0.0,0.9020397066897203,-0.9659723665617115,1.7827561319782248
39,33.23076923076923,ROL,35.160714285714285,33.214285714285715,under,34.5,lost,1.83,39.0,0.0,0.0,-0.7760435577368519,0.0,0.0,0.0,0.0,0.0,1.120551452057974,-0.6816806276591585
17,29.229559748427672,LFL,26.232558139534884,29.57943925233645,under,28.5,won,1.83,17.0,0.0,0.0,-0.7760435577368519,-0.6320467219229506,1.2815801036603958,0.0,0.0,0.0,-2.2426813296105834,1.563734720205872
26,29.229559748427672,LFL,26.232558139534884,29.57943925233645,under,28.5,won,1.83,26.0,-1.155716943849221,-1.5721442954792302,1.2567508672476961,0.0,0.0,0.6655385399034301,-0.468056459937813,0.9020397066897203,0.0,0.46549902257931564
26,36.1413612565445,EBL,35.39772727272727,43.666666666666664,over,34.5,lost,1.83,26.0,0.0,0.0,1.2567508672476961,-0.6320467219229506,0.6655385399034301,0.0,0.5231029362444133,0.0,-1.1261807448375052,-2.2426813296105834
29,36.1413612565445,EBL,35.39772727272727,43.666666666666664,over,34.5,lost,1.83,29.0,0.0,0.0,0.0,-0.7760435577368519,0.0,1.2815801036603958,-0.8113044475574895,0.0,-0.6816806276591585,-0.9659723665617115
29,30.07286432160804,LPL,32.26086956521739,38.0,under,34.5,won,1.83,29.0,0.0,0.0,-0.6320467219229506,0.0,-0.6263770292967372,0.0,0.0,-0.8113044475574895,-1.057365285027263,-2.2426813296105834
23,30.07286432160804,LPL,29.2,36.266666666666666,under,33.5,won,1.83,23.0,0.0,-1.5721442954792302,-0.7760435577368519,0.8434335133614894,0.0,-1.0617142411045393,0.0,0.0,-2.2426813296105834,1.7827561319782248
18,28.831481481481482,LCK,34.19230769230769,30.64761904761905,under,33.5,won,1.83,18.0,0.0,0.0,0.0,-0.7760435577368519,-1.0617142411045393,0.0,0.0,0.9020397066897203,0.0,-1.078880905409381
61,28.831481481481482,LCK,34.19230769230769,30.64761904761905,under,33.5,lost,1.83,61.0,0.0,-1.5721442954792302,-0.6320467219229506,1.0984264443831435,0.0,0.6655385399034301,0.0,0.0,1.7827561319782248,-2.2426813296105834
18,27.25563909774436,LCP,26.012048192771083,27.736842105263158,under,26.5,won,1.83,18.0,0.0,-1.155716943849221,1.2567508672476961,1.0984264443831435,0.6655385399034301,-0.8095983863874423,0.0,0.0,0.0,1.7827561319782248
26,33.0375,TCL,34.9264705882353,30.822580645161292,under,33.5,won,1.83,26.0,0.0,0.0,0.0,0.0,0.0,-0.6263770292967372,0.9020397066897203,0.5231029362444133,1.7827561319782248,0.46549902257931564
