total_kills,league_mean_kills,league,mean_total_kills_t1,mean_total_kills_t2,bet_line,bet_value,bet_status,house_odds,actual_value,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2,won,profit,prob_under
22,30.07286432160804,LPL,29.01020408163265,26.4,under,27.5,won,1.83,22.0,0.5609560677137821,0.0,0.0,0.0,-0.8095983863874423,-1.0617142411045393,0.0,-0.913098065074376,-0.9659723665617116,-1.1261807448375052,1,0.8300000000000001,0.7100707202440867
34,33.06190476190476,NLC,34.935483870967744,29.694444444444443,under,33.5,lost,1.83,34.0,0.5609560677137821,-1.155716943849221,0.0,0.0,-0.8095983863874423,0.6655385399034301,-0.913098065074376,0.9020397066897204,-1.1261807448375052,1.120551452057974,0,-1.0,0.4730930699420081
27,36.1413612565445,EBL,35.189655172413794,31.58620689655172,under,34.5,won,1.83,27.0,-0.5685724682663711,0.0,-1.0332368361565436,-0.6320467219229506,-0.6263770292967372,0.0,0.7520050888007717,0.9020397066897204,-0.6816806276591585,1.7827561319782248,1,0.8300000000000001,0.46941820009591223
36,36.1413612565445,EBL,35.189655172413794,31.58620689655172,under,34.5,lost,1.83,36.0,-1.155716943849221,-0.8659941634725179,0.0,0.0,-0.8095983863874423,0.6655385399034301,-1.2403757694101287,-0.8113044475574895,-1.1261807448375052,0.0,0,-1.0,0.5825244299624093
18,30.12878787878788,LVP SL,28.45833333333333,31.548076923076923,under,32.5,won,1.83,18.0,0.0,-0.8659941634725179,0.0,-1.0332368361565436,0.0,0.0,0.7520050888007717,-0.468056459937813,-1.078880905409381,1.120551452057974,1,0.8300000000000001,0.5936403826382035
25,32.79136690647482,LIT,32.285714285714285,32.476190476190474,over,27.5,lost,1.83,25.0,-0.5685724682663711,0.0,0.0,0.0,-1.0617142411045393,0.0,0.0,-0.8113044475574895,0.0,0.4654990225793156,0,-1.0,0.47161965413414697
21,33.06190476190476,NLC,32.016666666666666,29.694444444444443,under,31.5,won,1.83,21.0,0.0,0.0,-0.7760435577368519,0.0,0.6655385399034301,1.0853159537389274,0.0,-0.913098065074376,0.4654990225793156,-1.1261807448375052,1,0.8300000000000001,0.49035381878588225
32,30.12878787878788,LVP SL,30.9811320754717,27.19298245614035,under,32.5,won,1.83,32.0,0.0,0.0,-0.6320467219229506,0.0,1.0853159537389274,1.2815801036603958,-0.913098065074376,0.0,-1.1261807448375052,0.4654990225793156,1,0.8300000000000001,0.5460274130499247
30,30.59057971014493,NACL,31.08888888888889,27.07843137254902,over,27.5,won,1.83,30.0,0.5609560677137821,0.0,-0.7760435577368519,-0.6320467219229506,-0.6263770292967372,0.0,0.5231029362444133,0.0,-1.1261807448375052,0.4654990225793156,1,0.8300000000000001,0.621532618079941
32,30.59057971014493,NACL,31.32758620689655,33.285714285714285,under,29.5,lost,1.83,32.0,0.0,0.0,-1.0332368361565436,-0.6320467219229506,-1.234138311281054,0.0,0.9020397066897204,0.7520050888007717,-1.1261807448375052,-1.057365285027263,0,-1.0,0.621419533600316
29,33.0375,TCL,29.928571428571427,30.63636363636364,under,29.5,won,1.83,29.0,0.0,0.5609560677137821,-0.64039106873566,0.0,-1.1986585288014666,0.0,-0.468056459937813,0.9020397066897204,0.4654990225793156,1.120551452057974,1,0.8300000000000001,0.46114775159552246
34,34.5625,RL,35.397260273972606,38.3125,over,32.5,won,1.83,34.0,0.0,0.0,-0.7760435577368519,0.0,0.0,-0.8095983863874423,0.0,0.5231029362444133,-1.7642883932950577,1.120551452057974,1,0.8300000000000001,0.43425911254401506
38,34.5625,RL,35.397260273972606,38.3125,over,32.5,won,1.83,38.0,0.0,0.0,1.757209358869801,1.0984264443831435,0.0,-0.6263770292967372,0.9020397066897204,-0.8113044475574895,0.0,-1.057365285027263,1,0.8300000000000001,0.23002258004542073
27,29.229559748427672,LFL,25.97647058823529,26.232558139534884,under,27.5,won,1.83,27.0,-1.155716943849221,0.0,-0.6320467219229506,-0.7760435577368519,0.6655385399034301,1.0853159537389274,0.7520050888007717,0.9020397066897204,0.4654990225793156,1.7827561319782248,1,0.8300000000000001,0.5454141709909441
21,29.229559748427672,LFL,25.97647058823529,26.232558139534884,under,27.5,won,1.83,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0421821869666132,0.5231029362444133,0.0,-2.2426813296105834,1,0.8300000000000001,0.7138758869489455
40,32.79136690647482,LIT,34.16326530612245,32.476190476190474,over,28.5,won,1.83,40.0,0.0,-1.155716943849221,-0.7760435577368519,0.0,0.6655385399034301,0.0,-0.468056459937813,-1.4326523672446747,-1.078880905409381,1.7827561319782248,1,0.8300000000000001,0.5113966705568043
30,36.1413612565445,EBL,38.659574468085104,35.39772727272727,under,35.5,won,1.83,30.0,-0.5685724682663711,0.0,-2.4473084787996164,-0.6320467219229506,-0.8095983863874423,1.0853159537389274,-0.913098065074376,0.0,1.7827561319782248,-1.1261807448375052,1,0.8300000000000001,0.44891222178921036
50,36.1413612565445,EBL,38.659574468085104,35.39772727272727,under,35.5,lost,1.83,50.0,0.0,0.0,0.0,-0.7760435577368519,1.2815801036603958,0.0,0.0,-0.468056459937813,0.0,-1.057365285027263,0,-1.0,0.3726834095880141
25,32.79136690647482,LIT,32.285714285714285,32.0,over,27.5,lost,1.83,25.0,0.0,0.0,0.0,-1.9946898409830425,0.0,0.6655385399034301,0.0,0.0,1.7827561319782248,1.120551452057974,0,-1.0,0.3811244946026471
29,30.59057971014493,NACL,31.32758620689655,28.80851063829787,under,30.5,won,1.83,29.0,-0.5685724682663711,0.0,0.0,0.0,0.6655385399034301,-0.8095983863874423,0.9020397066897204,0.0,-1.1261807448375052,-1.057365285027263,1,0.8300000000000001,0.6280958128451481
26,30.59057971014493,NACL,32.1,30.5,under,31.5,won,1.83,26.0,0.5609560677137821,0.0,-0.6320467219229506,-0.7760435577368519,0.0,0.6655385399034301,0.0,0.9020397066897204,0.0,-1.057365285027263,1,0.8300000000000001,0.5188089836532083
18,30.07286432160804,LPL,31.225225225225227,26.88571428571429,under,28.5,won,1.83,18.0,0.0,0.5609560677137821,0.0,-0.7760435577368519,0.6655385399034301,0.0,0.0,-0.468056459937813,0.4654990225793156,-0.9659723665617116,1,0.8300000000000001,0.5562598140315118
11,30.07286432160804,LPL,31.225225225225227,26.88571428571429,under,28.5,won,1.83,11.0,0.0,-1.5721442954792302,1.0984264443831435,0.0,0.0,-0.6263770292967372,0.7520050888007717,0.9020397066897204,-0.6816806276591585,-1.1261807448375052,1,0.8300000000000001,0.6133230830527563
43,35.46153846153846,HLL,34.88709677419355,35.36538461538461,under,36.5,lost,1.83,43.0,0.0,0.0,0.0,1.0984264443831435,0.6655385399034301,0.0,0.5231029362444133,0.0,0.0,0.4654990225793156,0,-1.0,0.2661905072174523
40,35.46153846153846,HLL,34.88709677419355,35.36538461538461,under,36.5,lost,1.83,40.0,0.0,0.5609560677137821,-0.64039106873566,-1.0332368361565436,0.0,-1.1986585288014666,0.9020397066897204,-0.468056459937813,1.120551452057974,1.7827561319782248,0,-1.0,0.3427022962592334
19,27.25563909774436,LCP,25.638297872340427,30.33333333333333,under,26.5,won,1.83,19.0,-1.155716943849221,0.0,-0.7760435577368519,-0.6320467219229506,0.0,0.0,0.7520050888007717,0.0,0.4654990225793156,-0.9659723665617116,1,0.8300000000000001,0.6779100928603524
24,27.25563909774436,LCP,25.638297872340427,30.33333333333333,under,26.5,won,1.83,24.0,0.0,0.0,-2.0515084196455184,-1.0332368361565436,-0.8095983863874423,-1.1986585288014666,-0.913098065074376,-0.8113044475574895,-1.1261807448375052,1.7827561319782248,1,0.8300000000000001,0.7979436092628145
32,33.15511551155115,PRM,32.34375,37.073170731707314,over,30.5,won,1.83,32.0,0.5609560677137821,0.0,-0.7760435577368519,-0.64039106873566,-0.8095983863874423,-1.1986585288014666,-0.913098065074376,0.0,-1.1261807448375052,1.120551452057974,1,0.8300000000000001,0.542370318876698
48,33.15511551155115,PRM,32.34375,37.073170731707314,over,30.5,won,1.83,48.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8113044475574895,0.0,-0.6816806276591585,1.7827561319782248,1,0.8300000000000001,0.35684825783729485
24,27.82010582010582,LTA N,27.83333333333333,30.83870967741936,over,28.5,lost,1.83,24.0,0.5609560677137821,0.0,0.0,-0.6320467219229506,0.6655385399034301,0.0,0.0,0.0,0.4654990225793156,-0.9659723665617116,0,-1.0,0.5339058276530324
37,27.82010582010582,LTA N,27.83333333333333,30.83870967741936,over,28.5,won,1.83,37.0,-1.155716943849221,-0.5685724682663711,1.0984264443831435,-0.7760435577368519,-0.6263770292967372,-1.0617142411045393,0.0,-0.468056459937813,1.7827561319782248,-0.6816806276591585,1,0.8300000000000001,0.5817516232325933
23,38.55115511551155,PCS,32.96,36.86153846153846,under,36.5,won,1.83,23.0,0.0,0.0,1.0984264443831435,-0.6320467219229506,-1.0617142411045393,-0.8095983863874423,0.7520050888007717,-0.8113044475574895,0.0,-0.9659723665617116,1,0.8300000000000001,0.4219735526158709
33,38.55115511551155,PCS,32.96,36.86153846153846,under,36.5,won,1.83,33.0,0.0,0.0,-0.7760435577368519,0.0,0.0,0.0,-0.468056459937813,0.0,-0.6816806276591585,-1.842584791571916,1,0.8300000000000001,0.5328460501018669
25,30.07286432160804,LPL,31.733766233766232,28.48175182481752,over,28.5,lost,1.83,25.0,0.0,0.5609560677137821,-0.6320467219229506,-1.0332368361565436,-0.8095983863874423,-1.1986585288014666,-0.8113044475574895,-1.2403757694101287,-0.6816806276591585,-1.1261807448375052,0,-1.0,0.7469918894199518
27,30.07286432160804,LPL,31.733766233766232,28.48175182481752,over,28.5,lost,1.83,27.0,-1.155716943849221,-0.8659941634725179,1.0984264443831435,0.0,0.6655385399034301,-0.6263770292967372,0.0,0.0,1.7827561319782248,0.4654990225793156,0,-1.0,0.4306554685438693
31,31.37037037037037,CD,32.355932203389834,27.711111111111112,under,31.5,won,1.83,31.0,0.5609560677137821,-1.155716943849221,-0.7760435577368519,0.0,0.0,0.0,-0.913098065074376,0.0,-1.1261807448375052,0.4654990225793156,1,0.8300000000000001,0.6398902635877254
29,31.37037037037037,CD,28.23684210526316,30.115384615384617,under,30.5,won,1.9,29.0,0.5609560677137821,0.0,-0.6320467219229506,0.0,0.6655385399034301,0.0,-0.8113044475574895,-1.4326523672446747,-1.1261807448375052,1.7827561319782248,1,0.8999999999999999,0.5555043358373252
29,31.37037037037037,CD,28.08695652173913,30.81132075471698,under,30.5,won,1.8,29.0,0.0,0.0,1.0984264443831435,0.0,-0.8095983863874423,0.0,-0.8113044475574895,0.9020397066897204,-1.078880905409381,-0.6816806276591585,1,0.8,0.5616910973552182
32,31.37037037037037,CD,29.982142857142858,33.1764705882353,over,31.5,won,1.83,32.0,0.0,0.5609560677137821,1.256750867247696,0.0,-0.6263770292967372,0.0,0.9020397066897204,0.7520050888007717,0.4654990225793156,-0.6816806276591585,1,0.8300000000000001,0.33948023182816794
31,31.37037037037037,CD,33.170212765957444,29.923076923076923,under,31.5,won,1.83,31.0,0.0,0.0,-2.0515084196455184,-0.6320467219229506,0.0,0.0,-0.8113044475574895,0.0,-0.6816806276591585,0.0,1,0.8300000000000001,0.6705224085476307
23,28.83148148148148,LCK,29.48958333333333,29.98095238095238,over,28.5,lost,1.83,23.0,0.0,-0.5685724682663711,0.0,0.0,0.0,0.6655385399034301,0.5231029362444133,0.0,0.4654990225793156,-0.9659723665617116,0,-1.0,0.5012847469840014
31,28.83148148148148,LCK,29.48958333333333,29.98095238095238,over,28.5,won,1.83,31.0,0.0,0.5609560677137821,0.0,-0.6320467219229506,-1.9393307422504515,0.0,0.0,0.9020397066897204,-0.6816806276591585,-1.078880905409381,1,0.8300000000000001,0.6219908484349207
43,30.07286432160804,LPL,31.208695652173912,31.696969696969692,over,28.5,won,1.83,43.0,0.0,0.0,-0.7760435577368519,0.0,0.6655385399034301,0.0,0.5231029362444133,0.0,0.4654990225793156,-0.6816806276591585,1,0.8300000000000001,0.48317208451150584
36,30.07286432160804,LPL,31.208695652173912,31.696969696969692,over,28.5,won,1.83,36.0,0.0,0.5609560677137821,-1.9946898409830425,0.0,-0.6263770292967372,0.0,-0.468056459937813,0.0,-1.057365285027263,0.0,1,0.8300000000000001,0.633758448164058
50,34.5625,RL,34.69892473118279,38.3125,over,29.5,won,1.83,50.0,0.0,0.0,-0.6320467219229506,-1.9946898409830425,0.0,-0.8095983863874423,0.0,0.7520050888007717,1.7827561319782248,-1.842584791571916,1,0.8300000000000001,0.47923556037077414
42,34.5625,RL,34.69892473118279,38.3125,over,29.5,won,1.83,42.0,0.0,0.0,-0.7760435577368519,0.0,0.0,0.0,-0.468056459937813,0.5231029362444133,-0.6816806276591585,-1.1261807448375052,1,0.8300000000000001,0.4507735360172067
32,30.12878787878788,LVP SL,30.9811320754717,30.25925925925926,over,30.5,won,1.83,36.0,0.0,0.0,1.0984264443831435,0.0,-0.8095983863874423,0.0,0.0,0.0,0.4654990225793156,0.0,1,0.8300000000000001,0.4100145858406358
29,31.37037037037037,CD,27.711111111111112,33.170212765957444,under,31.5,won,1.83,29.0,0.0,-1.5721442954792302,0.0,-0.64039106873566,0.6655385399034301,-0.8095983863874423,0.0,0.9020397066897204,1.7827561319782248,0.0,1,0.8300000000000001,0.5198582020669924
20,31.37037037037037,CD,30.115384615384617,29.982142857142858,under,31.5,won,1.83,20.0,0.0,0.0,1.0984264443831435,1.256750867247696,-0.8095983863874423,-1.0617142411045393,0.9020397066897204,0.7520050888007717,-1.1261807448375052,-0.6816806276591585,1,0.8300000000000001,0.4848147363673065
33,28.83148148148148,LCK,30.83739837398374,30.64761904761905,under,29.5,lost,1.83,33.0,0.0,0.0,1.0984264443831435,-0.7760435577368519,0.0,0.6655385399034301,0.0,0.0,-0.9659723665617116,1.120551452057974,0,-1.0,0.42846730486642665
51,28.83148148148148,LCK,30.83739837398374,30.64761904761905,under,29.5,lost,1.83,51.0,0.0,0.5609560677137821,0.0,0.0,-0.8095983863874423,0.0,0.5231029362444133,-0.8113044475574895,0.4654990225793156,-1.842584791571916,0,-1.0,0.5181377245198195
25,28.83148148148148,LCK,29.50515463917526,28.091603053435115,over,26.5,lost,1.83,25.0,0.0,0.0,-0.7760435577368519,0.0,0.6655385399034301,-1.9393307422504515,0.0,-0.468056459937813,0.4654990225793156,-0.9659723665617116,0,-1.0,0.6842619652418647
19,28.83148148148148,LCK,29.50515463917526,28.091603053435115,over,26.5,lost,1.83,19.0,0.0,0.5609560677137821,0.0,-0.64039106873566,-0.8095983863874423,-1.1986585288014666,-0.8113044475574895,0.5231029362444133,-1.057365285027263,0.0,0,-1.0,0.6870381023571839
36,30.12878787878788,LVP SL,27.176470588235293,28.45833333333333,under,26.5,lost,1.83,36.0,0.0,0.0,0.0,0.0,0.0,1.8913858048840095,0.7520050888007717,-1.4462880706363492,-1.078880905409381,0.4654990225793156,0,-1.0,0.502257556108121
29,33.06190476190476,NLC,32.016666666666666,36.78260869565217,over,33.5,lost,1.83,29.0,0.5609560677137821,0.0,-0.7760435577368519,1.0984264443831435,0.0,0.0,-1.2403757694101287,0.0,-0.6816806276591585,-1.7642883932950577,0,-1.0,0.4802615998803289
27,33.06190476190476,NLC,32.016666666666666,36.78260869565217,over,33.5,lost,1.83,27.0,0.0,-1.5721442954792302,-0.6320467219229506,0.0,-1.0617142411045393,0.6655385399034301,0.0,0.9020397066897204,-1.1261807448375052,0.0,0,-1.0,0.5184638132122957
36,30.12878787878788,LVP SL,31.548076923076923,30.9811320754717,over,30.5,won,1.83,45.0,0.0,0.0,0.0,1.0984264443831435,0.0,0.0,0.0,-0.913098065074376,-1.078880905409381,1.7827561319782248,1,0.8300000000000001,0.4018298410072342
36,30.12878787878788,LVP SL,30.9811320754717,30.25925925925926,over,30.5,won,1.83,36.0,0.0,0.0,0.0,1.0984264443831435,0.0,0.0,0.0,-0.913098065074376,-1.078880905409381,1.7827561319782248,1,0.8300000000000001,0.419725945432825
35,31.37037037037037,CD,33.170212765957444,33.1764705882353,over,31.5,won,1.83,35.0,0.5609560677137821,0.0,-0.64039106873566,-0.751940118689614,-1.1986585288014666,0.6655385399034301,0.0,0.5231029362444133,0.4654990225793156,1.7827561319782248,1,0.8300000000000001,0.35587675079195547
35,31.37037037037037,CD,28.08695652173913,27.711111111111112,under,30.5,lost,1.9,35.0,0.0,0.0,1.256750867247696,0.0,-0.8095983863874423,1.2815801036603958,0.9020397066897204,0.0,0.4654990225793156,1.7827561319782248,0,-1.0,0.32012646312760007
25,31.37037037037037,CD,29.923076923076923,30.115384615384617,under,31.5,won,1.83,25.0,0.5609560677137821,1.2452748960137257,-0.64039106873566,-0.751940118689614,-1.1986585288014666,0.0,-0.468056459937813,0.0,-1.078880905409381,0.0,1,0.8300000000000001,0.5932764453032269
36,28.83148148148148,LCK,30.60952380952381,26.92079207920792,over,25.5,won,1.83,36.0,0.5609560677137821,0.0,-0.7760435577368519,0.0,-0.8095983863874423,0.0,-0.8113044475574895,0.0,-0.9659723665617116,0.4654990225793156,1,0.8300000000000001,0.6283761299490886
43,28.83148148148148,LCK,30.60952380952381,26.92079207920792,over,25.5,won,1.83,43.0,0.0,-0.5685724682663711,0.0,0.0,1.2815801036603958,0.0,0.5231029362444133,0.0,0.0,-0.6816806276591585,1,0.8300000000000001,0.5519644391360986
23,28.83148148148148,LCK,29.48958333333333,32.130434782608695,over,29.5,lost,1.83,23.0,0.5609560677137821,0.0,-0.7760435577368519,0.0,0.6655385399034301,0.0,-0.8113044475574895,0.0,0.4654990225793156,0.0,0,-1.0,0.48728755377528454
28,28.83148148148148,LCK,29.48958333333333,32.130434782608695,over,29.5,lost,1.83,28.0,-1.155716943849221,0.0,0.0,1.0984264443831435,-0.6263770292967372,0.0,0.0,-0.913098065074376,-0.9659723665617116,-1.1261807448375052,0,-1.0,0.5883424800073905
30,28.83148148148148,LCK,29.76068376068376,30.272058823529413,over,28.5,won,1.83,30.0,0.0,0.0,0.0,-0.7760435577368519,0.0,0.0,0.5231029362444133,0.0,0.4654990225793156,-0.9659723665617116,1,0.8300000000000001,0.545147570672061
39,28.83148148148148,LCK,29.76068376068376,30.272058823529413,over,28.5,won,1.83,39.0,0.0,0.5609560677137821,-0.6320467219229506,-0.64039106873566,-0.8095983863874423,-1.1986585288014666,-0.8113044475574895,0.0,1.120551452057974,-1.078880905409381,1,0.8300000000000001,0.6337016856918855
43,30.07286432160804,LPL,28.474074074074075,31.526946107784436,over,27.5,won,1.83,43.0,0.0,0.0,0.0,-0.7760435577368519,0.0,0.6655385399034301,0.5231029362444133,-0.913098065074376,0.4654990225793156,-1.1261807448375052,1,0.8300000000000001,0.5300317627972181
28,30.07286432160804,LPL,28.474074074074075,31.526946107784436,over,27.5,won,1.83,28.0,0.5609560677137821,0.0,0.0,1.0984264443831435,-0.8095983863874423,0.0,0.9020397066897204,0.7520050888007717,1.120551452057974,1.7827561319782248,1,0.8300000000000001,0.2791213741022994
20,33.06190476190476,NLC,29.694444444444443,30.6,under,32.5,won,1.83,20.0,-1.155716943849221,-1.5721442954792302,-0.7760435577368519,-0.6320467219229506,0.6655385399034301,-0.8095983863874423,-0.468056459937813,0.9020397066897204,1.120551452057974,-0.6816806276591585,1,0.8300000000000001,0.6921162220571017
36,33.06190476190476,NLC,29.694444444444443,30.6,under,32.5,lost,1.83,36.0,0.5609560677137821,0.0,0.0,1.0984264443831435,0.0,0.0,-0.8113044475574895,0.7520050888007717,1.7827561319782248,0.4654990225793156,0,-1.0,0.32036949215747623
24,29.229559748427672,LFL,29.155555555555555,26.232558139534884,over,26.5,lost,1.83,24.0,0.0,-1.5721442954792302,-0.6320467219229506,-1.0332368361565436,-0.8095983863874423,0.0,0.5231029362444133,0.9020397066897204,4.1582595287502215,0.0,0,-1.0,0.5069962527378628
25,29.229559748427672,LFL,29.155555555555555,26.232558139534884,over,26.5,lost,1.83,25.0,0.0,0.0,-0.7760435577368519,0.0,0.0,1.2815801036603958,0.0,-0.468056459937813,1.7827561319782248,0.4654990225793156,0,-1.0,0.44345203930826016
32,33.23076923076923,ROL,33.214285714285715,35.46,under,35.5,won,1.83,32.0,0.0,0.0,-1.0332368361565436,-0.7760435577368519,0.0,0.0,0.5231029362444133,0.7520050888007717,0.0,-1.078880905409381,1,0.8300000000000001,0.5026219464375675
50,33.23076923076923,ROL,33.214285714285715,35.46,under,35.5,lost,1.83,50.0,-0.5685724682663711,0.0,0.8434335133614894,-0.6320467219229506,-0.8095983863874423,0.6655385399034301,0.9020397066897204,-0.8113044475574895,0.4654990225793156,1.120551452057974,0,-1.0,0.2954576409845505
31,33.23076923076923,ROL,31.301369863013697,32.895833333333336,under,31.5,won,1.83,31.0,1.2452748960137257,0.0,-0.7760435577368519,0.0,0.0,-0.6263770292967372,0.0,0.5231029362444133,1.120551452057974,1.7827561319782248,1,0.8300000000000001,0.3342266231565887
18,33.23076923076923,ROL,31.301369863013697,32.895833333333336,under,31.5,won,1.83,18.0,0.5609560677137821,0.0,-1.0332368361565436,0.8434335133614894,0.0,-1.1986585288014666,-0.8113044475574895,-1.4462880706363492,0.0,-0.6816806276591585,1,0.8300000000000001,0.5658715785823384
19,33.06190476190476,NLC,30.29824561403509,34.935483870967744,under,32.5,won,1.83,19.0,0.0,0.0,0.0,-0.7760435577368519,0.6655385399034301,0.0,0.0,-0.8113044475574895,0.4654990225793156,0.0,1,0.8300000000000001,0.4442957885800896
27,33.06190476190476,NLC,30.29824561403509,34.935483870967744,under,32.5,won,1.83,27.0,0.0,0.0,0.0,-0.64039106873566,1.2815801036603958,0.0,0.5231029362444133,0.9020397066897204,-0.6816806276591585,-1.1261807448375052,1,0.8300000000000001,0.49201590685193236
49,30.59057971014493,NACL,31.5,28.80851063829787,under,28.5,lost,1.83,49.0,0.0,0.0,1.0984264443831435,0.0,0.6655385399034301,-0.8095983863874423,-0.913098065074376,0.0,1.120551452057974,0.4654990225793156,0,-1.0,0.410028130768438
48,30.59057971014493,NACL,33.285714285714285,30.5,under,28.5,lost,1.83,48.0,-1.155716943849221,0.5609560677137821,0.0,-0.6320467219229506,0.0,0.6655385399034301,0.0,0.0,0.4654990225793156,0.0,0,-1.0,0.4500453519922673
36,36.13903743315508,LJL,38.490566037735846,39.10714285714285,over,35.5,won,1.83,36.0,-1.155716943849221,0.5609560677137821,1.757209358869801,-0.64039106873566,0.0,0.0,-0.913098065074376,0.0,-0.6816806276591585,0.4654990225793156,1,0.8300000000000001,0.2667697908381272
45,36.13903743315508,LJL,38.490566037735846,39.10714285714285,over,35.5,won,1.83,45.0,0.0,0.0,0.0,0.0,0.0,2.339012536092831,0.0,0.0,-1.1261807448375052,-1.7642883932950577,1,0.8300000000000001,0.276896762564633
29,28.83148148148148,LCK,28.091603053435115,26.579545454545453,over,25.5,won,1.83,29.0,0.0,0.0,0.0,-1.9946898409830425,0.6655385399034301,-0.8095983863874423,0.7520050888007717,-0.8113044475574895,-1.057365285027263,0.4654990225793156,1,0.8300000000000001,0.7276925652710422
33,28.83148148148148,LCK,28.091603053435115,26.579545454545453,over,25.5,won,1.83,33.0,0.5609560677137821,0.0,-0.6320467219229506,1.757209358869801,-0.6263770292967372,0.0,0.0,0.0,-0.9659723665617116,0.0,1,0.8300000000000001,0.556444002034231
25,30.07286432160804,LPL,31.696969696969692,28.474074074074075,over,28.5,lost,1.83,25.0,0.0,0.0,1.256750867247696,0.0,0.0,0.6655385399034301,0.0,-0.8113044475574895,0.4654990225793156,-0.6816806276591585,0,-1.0,0.40522298350713315
41,30.07286432160804,LPL,31.696969696969692,28.474074074074075,over,28.5,won,1.83,41.0,0.0,0.0,0.0,-1.0332368361565436,-0.6263770292967372,-1.1986585288014666,-1.0421821869666132,-0.913098065074376,-1.842584791571916,-1.1261807448375052,1,0.8300000000000001,0.7811383129624724
29,33.0375,TCL,32.64556962025316,29.928571428571427,under,32.5,won,1.83,29.0,0.0,0.0,0.0,-0.6320467219229506,0.0,-1.0617142411045393,0.0,0.7520050888007717,-0.9659723665617116,-1.078880905409381,1,0.8300000000000001,0.6371169516676627
40,33.0375,TCL,34.9264705882353,30.63636363636364,under,31.5,lost,1.83,40.0,0.5609560677137821,0.0,-1.0332368361565436,0.0,-1.1986585288014666,0.6655385399034301,-0.468056459937813,0.9020397066897204,1.7827561319782248,0.4654990225793156,0,-1.0,0.34373170560615945
30,29.229559748427672,LFL,25.97647058823529,29.26086956521739,under,28.5,lost,1.83,30.0,0.0,0.0,-0.6320467219229506,-0.7760435577368519,-0.8095983863874423,0.0,0.0,0.0,1.7827561319782248,0.4654990225793156,0,-1.0,0.5547736563983957
35,29.229559748427672,LFL,25.97647058823529,29.26086956521739,under,28.5,lost,1.83,35.0,-1.155716943849221,0.0,0.0,0.0,0.0,0.0,-0.468056459937813,0.0,-1.057365285027263,-0.6816806276591585,0,-1.0,0.7048449455035345
45,30.59057971014493,NACL,28.80851063829787,30.5,under,29.5,lost,1.83,45.0,0.0,0.5609560677137821,0.0,1.0984264443831435,0.0,0.0,0.7520050888007717,0.9020397066897204,-1.1261807448375052,-0.6816806276591585,0,-1.0,0.4773125332289132
21,28.83148148148148,LCK,29.335714285714285,30.272058823529413,under,30.5,won,1.83,21.0,0.0,0.0,1.0984264443831435,-0.7760435577368519,0.0,0.0,0.9020397066897204,0.0,-1.078880905409381,-1.1261807448375052,1,0.8300000000000001,0.560897224096295
40,28.83148148148148,LCK,29.335714285714285,30.272058823529413,under,30.5,lost,1.83,40.0,0.0,-1.155716943849221,-1.0332368361565436,-0.6320467219229506,-0.8095983863874423,0.6655385399034301,0.0,-0.8113044475574895,-0.6816806276591585,0.0,0,-1.0,0.6787573477935844
26,30.07286432160804,LPL,29.01020408163265,30.82258064516129,under,28.5,won,1.83,26.0,0.0,0.5609560677137821,-0.6320467219229506,-1.0332368361565436,0.0,-1.1986585288014666,0.0,0.9020397066897204,-0.6816806276591585,-1.1261807448375052,1,0.8300000000000001,0.6956306967397681
35,30.07286432160804,LPL,29.01020408163265,30.82258064516129,under,28.5,lost,1.83,35.0,0.0,0.0,0.0,-0.7760435577368519,0.0,0.0,0.0,-2.378273094861868,1.7827561319782248,-0.9659723665617116,0,-1.0,0.5268992988988372
